sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,cryozonic_configurable_input,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,flavor_spicy,flavor_sweet,gallery,gift_message_available,has_options,image,image_label,ingredients,ingredients_broccoli,ingredients_chicken_stock,ingredients_fish_sauce,ingredients_ginger,ingredients_organic_cane_sugar,ingredients_scallion,ingredients_sea_salts,ingredients_sesame_oil,ingredients_soy_beans,ingredient_anise,ingredient_apple_sauce,ingredient_asparagus,ingredient_baby_potato,ingredient_baby_shrimp,ingredient_bacon,ingredient_bamboo_shoots,ingredient_basil,ingredient_bean_sprout_yellow,ingredient_beef_cube,ingredient_beef_loin,ingredient_beef_slice,ingredient_black_pepper,ingredient_black_pepper_sauce,ingredient_black_quinoa,ingredient_bl_chicken_thigh,ingredient_cabbage,ingredient_califlower,ingredient_calocybe_gambosa_fg,ingredient_cantaloupe,ingredient_carrot_sliced,ingredient_carrot_small_cube,ingredient_cashew,ingredient_celery,ingredient_cellophane_noodles,ingredient_cherry_tomato,ingredient_chili_bean_sauce,ingredient_chili_garlic_sauce,ingredient_chinese_cabbage,ingredient_chinese_celery,ingredient_chives,ingredient_cilantro,ingredient_cinnamon,ingredient_coconut_water,ingredient_common_yam,ingredient_cooking_wine,ingredient_corn_kernel,ingredient_corn_off_the_cob,ingredient_couscous,ingredient_curry_powder,ingredient_dioscorea_japonica,ingredient_dry_beancurd,ingredient_eggplant,ingredient_enokitake,ingredient_fermanted_bean_curd,ingredient_french_horn_shroom,ingredient_fungus_mushroom,ingredient_garlic,ingredient_garlic_chives,ingredient_ginger_powder,ingredient_greenbean_carrot,ingredient_green_bell_pepper,ingredient_grn_cayenne_pepper,ingredient_hami_melon,ingredient_hoisin_sauce,ingredient_honey,ingredient_kale,ingredient_kelp,ingredient_lemon_juice,ingredient_lotus_root,ingredient_low_sodium_soysauce,ingredient_millet,ingredient_mint,ingredient_mushroom,ingredient_mustard_green,ingredient_okra,ingredient_olive_oil,ingredient_onion,ingredient_organic_corn,ingredient_oyster_sauce,ingredient_parsley,ingredient_peanut_butter,ingredient_peas,ingredient_pepper_corn,ingredient_pepper_oil,ingredient_pineapple,ingredient_pine_nuts,ingredient_pork_belly,ingredient_pork_tenderloin,ingredient_prickly_pepper,ingredient_quinoa,ingredient_radix_angelicae,ingredient_red_chili_pepper,ingredient_red_onion,ingredient_red_quinoa,ingredient_rotini,ingredient_salmon_fish,ingredient_seafood_stock,ingredient_shallot_crisp,ingredient_shell_less_shrimp,ingredient_shitake_mushsroom,ingredient_shrimp,ingredient_skinless_pork_belly,ingredient_soysauce,ingredient_spare_ribs,ingredient_spicy_oil,ingredient_string_beans,ingredient_sugar_snap_peas,ingredient_sweet_potato,ingredient_sweet_potato_vermic,ingredient_thick_soysauce,ingredient_tomato,ingredient_tomato_sauce,ingredient_veggie_stock,ingredient_vermicelli,ingredient_vinegar,ingredient_walnut,ingredient_wasabi,ingredient_water_chestnut,ingredient_white_mushroom,ingredient_white_pepper,ingredient_white_radish,ingredient_whole_wheat_pasta,ingredient_wild_rice,ingredient_winter_melon,ingredient_zucchini,ingridients_abf_chicken,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,preference_all_veggies,preference_no_beef,preference_no_fish,preference_no_lamb,preference_no_pork,preference_no_poultry,preference_no_shrimp,price,ready_to_eat_time,required_options,restrict_groups,short_description,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,Spaghetti,,,
#16,,Default,simple,,"Default Category",base,,,,"2016-06-10 22:17:12",,,,,,"<blockquote>
ON DEVICE: PRESS ""BOILED"" KEY
</blockquote>
<br>",No,,,,,1,/_/1/_16-1.jpg,,,1,,,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,"Use config","Use config","#16 SOY BEAN MUSHROOM PASTA",,,"Product Info Column",,No,No,No,,No,No,No,0.0000,15,0,,"<blockquote>
<h3><em>Our food may contain nuts, dairy, egg, wheat or shellfish products, please check the ingredients below.</em></h3>
</blockquote>",,/_/1/_16-1.jpg,,,,,1,0,/_/1/_16-1.jpg,,"2016-08-11 20:34:44",soy-bean-musroom-pasta,soy-bean-musroom-pasta.html,4,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/i/m/img_2826.jpg,,1,0,,checkbox,"Side Orders",0,,,,0,Grits,1.0000,,1
,,,,"Meal Menu","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/i/m/img_2825.jpg,,2,0,,,,,,,,,Spaghetti,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/_/1/_16-1.jpg,,3,1,default,,,,,,,,Spaghetti,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkbox,"Side Orders",0,,,0,0,Grits,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spaghetti,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,Spaghetti,,,
#15,,Default,simple,,"Default Category",base,,,,"2016-06-10 22:17:14",,,,,,"<blockquote>
ON DEVICE: PRESS ""BOILED"" KEY
</blockquote>
<br>",No,,,,,1,/_/1/_15-1.jpg,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use config","Use config","#15 VEGETABLE MUSROOM PASTA",,,"Product Info Column",,No,No,No,,No,No,No,0.0000,15,0,,"<blockquote>
<h3><em>Our food may contain nuts, dairy, egg, wheat or shellfish products, please check the ingredients below.</em></h3>
</blockquote>",,/_/1/_15-1.jpg,,,,,1,0,/_/1/_15-1.jpg,,"2016-08-11 20:34:44",vegetable-musroom-pasta,vegetable-musroom-pasta.html,4,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/i/m/img_2823.jpg,,1,0,,checkbox,"Side Orders",0,,,,0,Grits,1.0000,,1
,,,,"Meal Menu","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/i/m/img_2822.jpg,,2,0,,,,,,,,,Spaghetti,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/_/1/_15-1.jpg,,3,1,default,,,,,,,,Spaghetti,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkbox,"Side Orders",0,,,0,0,Grits,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spaghetti,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,Spaghetti,,,
#11,,Default,simple,,"Default Category",base,,,,"2016-06-11 14:40:53",,,,,,"<blockquote>
ON DEVICE: PRESS ""ABRA"" KEY
</blockquote>
<br>",No,,,,,1,/_/1/_11-1.jpg,,,,1,,1,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use config","Use config","#11 PORK BELLY & BABY POTATO",,,"Product Info Column",,Yes,No,No,,Yes,No,No,0.0000,45,0,,"<blockquote>
<h3><em>Our food may contain nuts, dairy, egg, wheat or shellfish products, please check the ingredients below.</em></h3>
</blockquote>",,/_/1/_11-1.jpg,,,,,1,0,/_/1/_11-1.jpg,,"2016-08-11 20:34:44",pork-belly-baby-potato,pork-belly-baby-potato.html,4,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/i/m/img_2697.jpg,,1,0,,checkbox,"Side Orders",0,,,,0,Grits,1.0000,,1
,,,,"Meal Menu","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/i/m/img_2698.jpg,,2,0,,,,,,,,,Spaghetti,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/_/1/_11-1.jpg,,3,1,default,,,,,,,,Spaghetti,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkbox,"Side Orders",0,,,0,0,Grits,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spaghetti,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,Spaghetti,,,
#9,,Default,simple,,"Default Category",base,,,,"2016-06-11 14:40:54",,,,,,"ON DEVICE: PRESS ""3"" KEY",No,,,,,1,/_/9/_9-1.jpg,,,,1,,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,"Use config","Use config","#9 YAM & MUSHROOM CHICKEN",,,"Product Info Column",,Yes,No,No,,No,Yes,No,0.0000,22,0,,"<blockquote>
<h3><em>Our food may contain nuts, dairy, egg, wheat or shellfish products, please check the ingredients below.</em></h3>
</blockquote>",,/_/9/_9-1.jpg,,,,,1,0,/_/9/_9-1.jpg,,"2016-08-11 20:34:46",yam-mushroom-chicken,yam-mushroom-chicken.html,4,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/i/m/img_2904.jpg,,1,0,,checkbox,"Side Orders",0,,,,0,Grits,1.0000,,1
,,,,"Meal Menu","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/i/m/img_2903.jpg,,2,0,,,,,,,,,Spaghetti,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/_/9/_9-1.jpg,,3,1,default,,,,,,,,Spaghetti,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkbox,"Side Orders",0,,,0,0,Grits,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spaghetti,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,Spaghetti,,,
#10,,Default,simple,,"Default Category",base,,,,"2016-06-11 14:40:55",,,,,,"<blockquote>
ON DEVICE: PRESS ""ABRA"" KEY
</blockquote>
<br>",No,,,,,1,/_/1/_10-1.jpg,,,,1,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use config","Use config","#10 SPICY FRENCH HORN MUSHROOM BEEF",,,"Product Info Column",,Yes,Yes,No,,No,No,No,0.0000,27,0,,"<blockquote>
<h3><em>Our food may contain nuts, dairy, egg, wheat or shellfish products, please check the ingredients below.</em></h3>
</blockquote>",,/_/1/_10-1.jpg,,,,,1,0,/_/1/_10-1.jpg,,"2016-08-11 20:34:44",spicy-french-horn-mushroom-beef,spicy-french-horn-mushroom-beef.html,4,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/i/m/img_2705.jpg,,1,0,,checkbox,"Side Orders",0,,,,0,Grits,1.0000,,1
,,,,"Meal Menu","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/i/m/img_2702.jpg,,2,0,,,,,,,,,Spaghetti,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/_/1/_10-1.jpg,,3,1,default,,,,,,,,Spaghetti,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkbox,"Side Orders",0,,,0,0,Grits,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spaghetti,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,Spaghetti,,,
#8,,Default,simple,,"Default Category",base,,,,"2016-06-11 14:40:56",,,,,,missing,No,,,,,1,/_/8/_8-1.jpg,,,,1,,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,"Use config","Use config","#8 LOTUS ROOT CHICKEN",,,"Product Info Column",,Yes,No,No,,No,Yes,No,0.0000,999,0,,"<blockquote>
<h3><em>Our food may contain nuts, dairy, egg, wheat or shellfish products, please check the ingredients below.</em></h3>
</blockquote>",,/_/8/_8-1.jpg,,,,,1,0,/_/8/_8-1.jpg,,"2016-08-11 20:34:45",lotus-root-chicken,lotus-root-chicken.html,4,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/i/m/img_2789.jpg,,1,0,,checkbox,"Side Orders",0,,,,0,Grits,1.0000,,1
,,,,"Meal Menu","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/i/m/img_2792.jpg,,2,0,,,,,,,,,Spaghetti,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/_/8/_8-1.jpg,,3,1,default,,,,,,,,Spaghetti,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkbox,"Side Orders",0,,,0,0,Grits,1.0000,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spaghetti,1.0000,,1
